Start,End,midLat,midLong
3.2km SW of Bishop Rock,2km S of St Mary's,49.87,-6.391
Abbey Pool,South Beach,49.946,-6.326
Balranald,Balemore,57.591,-7.491
Belfast Lough,Kinnegar,54.668,-5.815
Big Pool,Porth Coose,49.896,-6.35
Cleat,Traigh Mor,57.019,-7.465
Crussa Field,The Heogs,60.777,-0.848
Elwick,Fenham Flats,55.636,-1.83
Great Pool,Stinking Porth,49.951,-6.346
Grenitote,Malacleit,57.648,-7.351
Hickling,Winterton,52.726,1.645
Kilnsea,Welwick Marsh,53.636,0.082
Oare Marshes,Graveney,51.337,0.919
Epney,Slimbridge,51.769,-2.374
Teesmouth,Cresswell Pond,54.937,-1.365
