"discovery","lat","long"
"25/10/1952","51.177","-4.668"
"10/12/1954","52.616","-6.426"
"11/01/1955","52.255","-9.736"
"27/05/1961","58.958","-2.905"
"07/11/1962","51.177","-4.668"
"19/12/1963","49.893","-6.339"
"19/12/1963","49.893","-6.339"
"28/01/1965","51.769","-10.661"
"15/01/1966","50.670","-1.975"
"18/01/1966","50.701","-1.920"
"12/02/1966","51.417","-0.591"
"12/05/1966","54.984","-4.079"
"11/11/1967","60.139","-2.077"
"14/01/1975","57.815","-8.580"
"17/10/1976","49.893","-6.348"
"16/01/1977","51.750","-9.552"
"05/11/1981","58.561","-3.779"
"13/12/1981","51.830","-10.175"
"15/01/1982","54.460","-5.833"
"03/11/1982","60.139","-2.077"
"14/11/1982","51.177","-4.668"
"08/06/1983","53.343","-7.052"
"12/10/1984","51.089","-0.716"
"24/12/1988","56.844","-2.280"
"26/10/1998","49.893","-6.336"
"11/11/2003","52.758","-4.789"
"14/12/2003","50.235","-5.393"
"01/01/2004","53.578","-0.108"
NULL,"51.471","-0.067"
"04/05/2006","57.166","-3.696"
"06/05/2006","57.249","-3.753"
"10/10/2006","49.950","-6.325"
"05/01/2007","53.848","-1.833"
"10/11/2010","50.677","-3.477"
"29/10/2013","49.950","-6.325"
"17/11/2013","57.248","-7.362"
"26/10/2018","51.177","-4.668"
"08/02/2022","50.770","0.289"
