"discovery_year","record_count"
1950,"0"
1951,"0"
1952,"1"
1953,"0"
1954,"1"
1955,"1"
1956,"0"
1957,"0"
1958,"0"
1959,"0"
1960,"0"
1961,"1"
1962,"1"
1963,"1"
1964,"0"
1965,"1"
1966,"3"
1967,"1"
1968,"0"
1969,"0"
1970,"0"
1971,"0"
1972,"0"
1973,"0"
1974,"0"
1975,"1"
1976,"1"
1977,"1"
1978,"0"
1979,"0"
1980,"0"
1981,"2"
1982,"3"
1983,"1"
1984,"1"
1985,"0"
1986,"0"
1987,"0"
1988,"1"
1989,"0"
1990,"0"
1991,"0"
1992,"0"
1993,"0"
1994,"0"
1995,"0"
1996,"0"
1997,"0"
1998,"1"
1999,"0"
2000,"0"
2001,"0"
2002,"0"
2003,"2"
2004,"1"
2005,"0"
2006,"3"
2007,"1"
2008,"0"
2009,"0"
2010,"1"
2011,"0"
2012,"0"
2013,"2"
2014,"0"
2015,"0"
2016,"0"
2017,"0"
2018,"1"
2019,"0"
2020,"0"
2021,"0"
2022,"1"
2023,"0"
